City,Latitude,Longitude,Max Temp_F,Humidity_%,Cloudiness_%,Wind Speed,Country,Date
Talnakh,69.4865,88.3972,-20.72,81,48,4.18,RU,1607925600
Teknāf,20.8624,92.3058,81.55,54,0,7.14,BD,1607925600
Los Llanos de Aridane,28.6585,-17.9182,63.37,87,58,6.6,ES,1607925600
Carnarvon,-24.8667,113.6333,78.28,48,0,21.3,AU,1607925600
Bethel,41.3712,-73.414,36.21,83,26,3.04,US,1607925600
Yellowknife,62.456,-114.3525,-21.35,80,5,5.73,CA,1607925600
Ambo,-10.1308,-76.2047,60.19,67,93,0.25,PE,1607925600
Mahébourg,-20.4081,57.7,78.93,87,63,15.26,MU,1607925600
Borgarnes,64.5383,-21.9206,38.34,66,85,17.92,IS,1607925600
Ekhabi,53.5102,142.9671,22.8,95,100,11.5,RU,1607925600
Wajir,1.7471,40.0573,79.57,67,18,11.56,KE,1607925600
Ushuaia,-54.8,-68.3,38.46,83,45,6.02,AR,1607925600
Madang,-5.2246,145.7966,82.53,84,78,4.32,PG,1607925600
Āsmār,35.0333,71.3581,50.04,50,100,4.59,AF,1607925600
Vao,-22.6667,167.4833,77.67,81,100,22.37,NC,1607925600
Busselton,-33.65,115.3333,69.12,47,37,12.91,AU,1607925600
Río Gallegos,-51.6226,-69.2181,43.18,70,43,22.68,AR,1607925600
Kapaa,22.0752,-159.319,75.72,72,26,7.74,US,1607925600
Imbituba,-28.24,-48.6703,70.9,92,85,2.42,BR,1607925600
Redmond,47.674,-122.1215,41.63,91,89,4.74,US,1607925600
Jamestown,42.097,-79.2353,30.61,91,94,4.16,US,1607925600
Jharsuguda,21.85,84.0333,81.84,47,20,4.68,IN,1607925600
East London,-33.0153,27.9116,73.44,79,1,6.91,ZA,1607925600
São João da Barra,-21.6403,-41.0511,74.55,82,78,18.3,BR,1607925600
Marsh Harbour,26.5412,-77.0636,75.04,77,41,5.28,BS,1607925600
Saskylakh,71.9167,114.0833,-24.36,83,100,15.57,RU,1607925600
